spot_check_type,portal_index,season,player_name,origin,destination,position,portal_position_group,experience_status,impact_status,prior_defensive_games,prior_team_games,prior_defensive_experience,prior_defensive_impact,prior_stats,implausible_value_flag
high_experience,376,2021,Caleb Biggers,Bowling Green,Boise State,CB,db,resolved,resolved,5,5,1.0,0.06944699779862559,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 1.0, ""sacks"": 0.0, ""solo_tackles"": 17.0, ""tackles"": 26.0, ""tackles_for_loss"": 2.0}",False
high_experience,1062,2021,Karon Prunty,Kansas,South Carolina,CB,db,resolved,resolved,9,9,1.0,1.3578080358120228,"{""fumble_recoveries"": 0.0, ""interceptions"": 1.0, ""passes_defended"": 9.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 22.0, ""tackles"": 26.0, ""tackles_for_loss"": 1.0}",False
high_experience,1102,2021,Weston Kramer,Northern Illinois,Indiana,DT,dl_edge,resolved,resolved,6,6,1.0,0.24645334157461551,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 1.0, ""solo_tackles"": 4.0, ""tackles"": 17.0, ""tackles_for_loss"": 3.0}",False
light_experience,9984,2025,Joseph Mupoyi,Penn State,North Carolina,EDGE,dl_edge,resolved,resolved,1,16,0.0625,-0.798667223171238,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 0.0, ""tackles"": 2.0, ""tackles_for_loss"": 0.0}",False
light_experience,10687,2025,Kody Huisman,North Dakota State,Virginia Tech,DL,dl_edge,resolved,resolved,1,16,0.0625,-0.888195490816319,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 0.0, ""tackles"": 1.0, ""tackles_for_loss"": 0.0}",False
light_experience,12050,2025,Jaray Bledsoe,Texas,Mississippi State,DL,dl_edge,resolved,resolved,1,16,0.0625,-0.798667223171238,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 0.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 1.0, ""tackles"": 2.0, ""tackles_for_loss"": 0.0}",False
strong_impact_modest_experience,12862,2025,Ben Bell,Texas State,Virginia Tech,EDGE,dl_edge,resolved,resolved,4,13,0.3076923076923077,1.4049885749303326,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 2.0, ""qb_hurries"": 6.0, ""sacks"": 2.5, ""solo_tackles"": 6.0, ""tackles"": 13.0, ""tackles_for_loss"": 6.0}",False
strong_impact_modest_experience,4066,2023,Shamari Simmons,Austin Peay,Arizona State,CB,db,resolved,resolved,5,11,0.45454545454545453,1.3941567758273166,"{""fumble_recoveries"": 2.0, ""interceptions"": 3.0, ""passes_defended"": 4.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 10.0, ""tackles"": 15.0, ""tackles_for_loss"": 0.0}",False
strong_impact_modest_experience,8794,2024,Aamir Hall,UAlbany,Michigan,CB,db,resolved,resolved,5,15,0.3333333333333333,1.2948984493450133,"{""fumble_recoveries"": 0.0, ""interceptions"": 5.0, ""passes_defended"": 3.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 4.0, ""tackles"": 6.0, ""tackles_for_loss"": 0.0}",False
high_experience_modest_impact,26,2021,Darel Middleton,Tennessee,West Virginia,DL,dl_edge,resolved,resolved,9,10,0.9,0.058938774856373985,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 2.0, ""qb_hurries"": 0.0, ""sacks"": 1.0, ""solo_tackles"": 5.0, ""tackles"": 15.0, ""tackles_for_loss"": 1.5}",False
high_experience_modest_impact,42,2021,Damir Faison,East Carolina,Kent State,EDGE,dl_edge,resolved,resolved,8,9,0.8888888888888888,-0.16874638004867767,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 0.0, ""sacks"": 0.0, ""solo_tackles"": 4.0, ""tackles"": 19.0, ""tackles_for_loss"": 1.5}",False
high_experience_modest_impact,356,2021,Jared Reed,Utah State,Boise State,S,db,resolved,resolved,3,6,0.5,-0.036081995888136265,"{""fumble_recoveries"": 0.0, ""interceptions"": 0.0, ""passes_defended"": 1.0, ""qb_hurries"": 0.0, ""sacks"": 1.0, ""solo_tackles"": 10.0, ""tackles"": 18.0, ""tackles_for_loss"": 1.0}",False
unresolved,22,2021,Colby Burton,McNeese,Hawai'i,CB,db,source_data_unavailable,source_data_unavailable,,,,,{},False
unresolved,25,2021,Devin Aupiu,Notre Dame,UCLA,LB,lb,identity_resolution_failure,identity_resolution_failure,,,,,{},False
unresolved,31,2021,Alec Bryant,Virginia Tech,Illinois,EDGE,dl_edge,position_mismatch,position_mismatch,,,,,{},False
